	Jour	Annee	Mois	Jour.1	Depart	Arrivee	Pays	Km_jours	Km_cumule	Altitude	Lat_degres	Lat_minutes	Lat_decimale	Lat_radian	Long_degres	Long_minutes	Long_decimale	Long_radian	km_vol_oiseau	km_corde	km_segment	km_cumule	Unnamed: 22	Objet	Lieu	Contexte	Catégorie	Post	Jour xxx	Titre	Unnamed: 30	Poids	Taille	Couleur	Matiere	Origine	Unnamed: 36	Date	Coordonnees
652	653	2014	10	11	Yangon	Yangon	Myanmar	0	10051	21	16	48.139	16.8023	0.2933	96	8.203	96.1367	1.6779	9366.1	8545.6	16.5	47060.5		Cheville	Dagon 	Interview	Almanach	0	Jour 653			0.67	32	13	3	2		samedi 11 octobre 2014	"N 16°48	1387' E 96°08	2025'"
823	824	2015	3	31	Kobuleti	Kobuleti	Georgia	0	11677	21	41	49.232	41.8205	0.7299	41	46.734	41.7789	0.7292	3623.5	3574.9	0.2	64670.1		Bouchon	"Kobuleti	 Georgie"	Journée boulot	Almanach	0	Jour 824			1.69	49	8	3	2		mardi 31 mars 2015	"N 41°49	232' E 41°46	734'"
213	214	2013	5	1	Dakar	Dakar	Senegal	0	5205	21	14	45.359	14.756	0.2575	-17	#CHAMP!	#CHAMP!	#CHAMP!	3894.9	3834.6	9.8	5394.8		Epingle	"Chez Momo	 Dakar"	Déjeuner	Carnet de bord	1	Jour 214	"Chez Momo	 Dakar"		0.32	57	6	0	2		mercredi 1 mai 2013	"N 14°45	359' W 17°25	738'"
244	245	2013	6	1	Barra-de-Coyuca	Barra-de-Coyuca	Mexico	0	5250	21	16	56.902	16.9484	0.2958	-100	#CHAMP!	#CHAMP!	#CHAMP!	9053.5	8311.1	0.0	19529.1		Testicules de Schtroumpf	Barra de Coyuca	Vacances (suite)	Carnet de bord	1	Jour 245	Barra de Coyuca		1.0	10	7	3	2		samedi 1 juin 2013	"N 16°56	902' W 100°06	776'"
504	505	2014	2	16	Besuki	Probolinggo	Indonesia	60	7506	22	-7	#CHAMP!	#CHAMP!	#CHAMP!	113	12.298	113.205	1.9758	12664.0	10680.7	53.6	40940.2		Bonbon	Probolinggo	Caserne militaire	Almanach	0	Jour 505			3.23	47	12	0	2		dimanche 16 février 2014	"S 07°45	281' E 113°12	298'"
596	597	2014	8	16	Butterworth	Penang	Malaysia	0	9061	22	5	25.012	5.4169	0.0945	100	19.974	100.3329	1.7511	10622.7	9434.9	4.3	45240.9		Bijoux métal	"George Town	 Penang"	viste d'Erwan et de Zul	Almanach	0	Jour 597			0.73	30	3	2	2		samedi 16 août 2014	"N 05°25	012' E 100°19	974'"
219	220	2013	5	7	Dakar	Dakar	Senegal	0	5220	22	14	45.445	14.7574	0.2576	-17	#CHAMP!	#CHAMP!	#CHAMP!	3894.7	3834.4	5.8	5434.4		Pendule	"Case Ba	 Dakar"	Radiesthesie	Carnet de bord	1	Jour 220	"Case Ba	 Dakar"		1.99	31	16	3	2		mardi 7 mai 2013	"N 14°45	445' W 17°25	710'"
218	219	2013	5	6	Dakar	Dakar	Senegal	0	5220	22	14	42.82	14.7137	0.2568	-17	#CHAMP!	#CHAMP!	#CHAMP!	3900.3	3839.7	5.9	5428.6		Tour	"Case-Ba	 Dakar"	Retour de tournage	Carnet de bord	1	Jour 219	"Case-Ba	 Dakar"		2.79	31	15	3	2		lundi 6 mai 2013	"N 14°42	820' W 17°27	490'"
820	821	2015	3	28	Meore-Ocha	Nigvziani	Georgia	95	11632	22	42	4.59	42.0765	0.7344	41	54.971	41.9162	0.7316	3620.9	3572.3	81.1	64637.9		Ciment de ruine	"Nigvziani	 Georgie"	Tempête	Almanach	0	Jour 821			4.05	27	5	6	2		samedi 28 mars 2015	"N 42°04	590' E 41°54	971'"
404	405	2013	11	8	Tijuana	Tijuana	Mexico	30	5640	22	32	31.929	32.5322	0.5678	-117	#CHAMP!	#CHAMP!	#CHAMP!	8858.6	8162.4	5.5	24563.2		Recette salade Ceasar	Restaurant Ceasar	Journée Culturel	Carnet de bord	1	Jour 405	Restaurant Ceasar		2.29	102	3	5	2		vendredi 8 novembre 2013	"N 32°31	929' W 117°02	186'"
